epoch,series,val_dfm_ce_loss,kind
50.0,exponential to floor,4.75938630665269,conditional projection
50.25,exponential to floor,4.754206095299929,conditional projection
50.5,exponential to floor,4.7491037345259,conditional projection
50.75,exponential to floor,4.744078054356604,conditional projection
51.0,exponential to floor,4.739127902400939,conditional projection
51.25,exponential to floor,4.734252143586466,conditional projection
51.5,exponential to floor,4.72944965989913,conditional projection
51.75,exponential to floor,4.724719350126903,conditional projection
52.0,exponential to floor,4.720060129607272,conditional projection
52.25,exponential to floor,4.715470929978528,conditional projection
52.5,exponential to floor,4.710950698934787,conditional projection
52.75,exponential to floor,4.706498399984701,conditional projection
53.0,exponential to floor,4.702113012213784,conditional projection
53.25,exponential to floor,4.697793530050321,conditional projection
53.5,exponential to floor,4.693538963034784,conditional projection
53.75,exponential to floor,4.689348335592724,conditional projection
54.0,exponential to floor,4.685220686811072,conditional projection
54.25,exponential to floor,4.6811550702177955,conditional projection
54.5,exponential to floor,4.677150553564877,conditional projection
54.75,exponential to floor,4.673206218614547,conditional projection
55.0,exponential to floor,4.669321160928733,conditional projection
55.25,exponential to floor,4.6654944896616675,conditional projection
55.5,exponential to floor,4.661725327355624,conditional projection
55.75,exponential to floor,4.658012809739706,conditional projection
56.0,exponential to floor,4.654356085531678,conditional projection
56.25,exponential to floor,4.65075431624276,conditional projection
56.5,exponential to floor,4.647206675985364,conditional projection
56.75,exponential to floor,4.643712351283719,conditional projection
57.0,exponential to floor,4.640270540887338,conditional projection
57.25,exponential to floor,4.636880455587289,conditional projection
57.5,exponential to floor,4.633541318035237,conditional projection
57.75,exponential to floor,4.630252362565188,conditional projection
58.0,exponential to floor,4.627012835017927,conditional projection
58.25,exponential to floor,4.6238219925680895,conditional projection
58.5,exponential to floor,4.620679103553826,conditional projection
58.75,exponential to floor,4.617583447309038,conditional projection
59.0,exponential to floor,4.6145343139981225,conditional projection
59.25,exponential to floor,4.611531004453214,conditional projection
59.5,exponential to floor,4.608572830013857,conditional projection
59.75,exponential to floor,4.605659112369102,conditional projection
60.0,exponential to floor,4.6027891834019625,conditional projection
60.25,exponential to floor,4.599962385036221,conditional projection
60.5,exponential to floor,4.597178069085531,conditional projection
60.75,exponential to floor,4.594435597104782,conditional projection
61.0,exponential to floor,4.591734340243712,conditional projection
61.25,exponential to floor,4.589073679102705,conditional projection
61.5,exponential to floor,4.586453003590765,conditional projection
61.75,exponential to floor,4.583871712785622,conditional projection
62.0,exponential to floor,4.581329214795941,conditional projection
62.25,exponential to floor,4.578824926625599,conditional projection
62.5,exponential to floor,4.576358274040005,conditional projection
62.75,exponential to floor,4.573928691434426,conditional projection
63.0,exponential to floor,4.571535621704296,conditional projection
63.25,exponential to floor,4.569178516117472,conditional projection
63.5,exponential to floor,4.566856834188405,conditional projection
63.75,exponential to floor,4.564570043554211,conditional projection
64.0,exponential to floor,4.562317619852597,conditional projection
64.25,exponential to floor,4.5600990466016285,conditional projection
64.5,exponential to floor,4.557913815081293,conditional projection
64.75,exponential to floor,4.5557614242168585,conditional projection
65.0,exponential to floor,4.5536413804639695,conditional projection
65.25,exponential to floor,4.551553197695481,conditional projection
65.5,exponential to floor,4.549496397089989,conditional projection
65.75,exponential to floor,4.547470507022035,conditional projection
66.0,exponential to floor,4.545475062953964,conditional projection
66.25,exponential to floor,4.543509607329406,conditional projection
66.5,exponential to floor,4.541573689468353,conditional projection
66.75,exponential to floor,4.539666865463825,conditional projection
67.0,exponential to floor,4.5377886980800755,conditional projection
67.25,exponential to floor,4.535938756652341,conditional projection
67.5,exponential to floor,4.534116616988078,conditional projection
67.75,exponential to floor,4.532321861269709,conditional projection
68.0,exponential to floor,4.530554077958806,conditional projection
68.25,exponential to floor,4.528812861701725,conditional projection
68.5,exponential to floor,4.527097813236669,conditional projection
68.75,exponential to floor,4.525408539302122,conditional projection
69.0,exponential to floor,4.523744652546686,conditional projection
69.25,exponential to floor,4.5221057714402555,conditional projection
69.5,exponential to floor,4.520491520186531,conditional projection
