scenario,model,start_step,cutoff_step,fit_points,rmse,holdout_mae,epoch_100_projection
"stable-phase, before deterioration",exponential to floor,180000,255000,17,0.0037486063092371596,,4.431371786100292
"stable-phase, before deterioration",power law to floor,180000,255000,17,0.003959333750183231,,4.414170463168678
"stable-phase, before deterioration",exponential to floor,200000,255000,13,0.0035106126548032617,,4.450660931497914
"stable-phase, before deterioration",power law to floor,200000,255000,13,0.00352000773687383,,4.44015994541591
tail-inclusive,exponential to floor,180000,265000,19,0.010770350594870123,,4.477916870554202
tail-inclusive,power law to floor,180000,265000,19,0.011185313345869693,,4.4664485866106585
tail-inclusive,exponential to floor,200000,265000,15,0.010424031195654689,,4.499198514732871
tail-inclusive,power law to floor,200000,265000,15,0.011425423446211008,,4.472703558386169
holdout backtest,exponential to floor,180000,230000,12,0.0037510327490356855,0.003937064235069699,4.421877798364428
holdout backtest,power law to floor,180000,230000,12,0.003860944475841534,0.005025796303411667,4.395321919331841
